"Treatments","survivals","adultsNO","Date","DayCount","Adults","Mortality","mortality (%)"
"MycoMillet25",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
"MycoMillet25",5,0,2020-09-10,2,0,2,0.285714285714286
"MycoMillet25",6,3,2020-09-10,2,42.8571428571429,1,0.142857142857143
"MycoMillet25",3,0,2020-09-10,2,0,4,0.571428571428571
"MycoMillet25",5,1,2020-09-10,2,14.2857142857143,2,0.285714285714286
"MycoMillet25",6,0,2020-09-10,2,0,1,0.142857142857143
"MycoMillet25",4,0,2020-09-10,2,0,3,0.428571428571429
"MycoMillet25",7,0,2020-09-10,2,0,0,0
"MycoMillet25",6,0,2020-09-10,2,0,1,0.142857142857143
"B.bassiana",1,0,2020-09-13,3,0,6,0.857142857142857
"B.bassiana",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"B.bassiana",0,0,2020-09-13,3,0,7,1
"B.bassiana",3,1,2020-09-13,3,14.2857142857143,4,0.571428571428571
"B.bassiana",4,0,2020-09-13,3,0,3,0.428571428571429
"B.bassiana",4,0,2020-09-13,3,0,3,0.428571428571429
"B.bassiana",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"B.bassiana",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"B.bassiana",3,0,2020-09-13,3,0,4,0.571428571428571
"B.bassiana",5,0,2020-09-13,3,0,2,0.285714285714286
"B.bassiana",1,0,2020-09-13,3,0,6,0.857142857142857
"B.bassiana",4,0,2020-09-13,3,0,3,0.428571428571429
"B.bassiana",4,0,2020-09-13,3,0,3,0.428571428571429
"B.bassiana",5,0,2020-09-13,3,0,2,0.285714285714286
"B.bassiana",5,0,2020-09-13,3,0,2,0.285714285714286
"BotaniGard",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"BotaniGard",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"BotaniGard",5,0,2020-09-13,3,0,2,0.285714285714286
"BotaniGard",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"BotaniGard",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"BotaniGard",6,0,2020-09-13,3,0,1,0.142857142857143
"BotaniGard",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"BotaniGard",6,0,2020-09-13,3,0,1,0.142857142857143
"BotaniGard",4,2,2020-09-13,3,28.5714285714286,3,0.428571428571429
"BotaniGard",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"BotaniGard",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"BotaniGard",7,4,2020-09-13,3,57.1428571428571,0,0
"BotaniGard",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"BotaniGard",5,0,2020-09-13,3,0,2,0.285714285714286
"BotaniGard",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"C1",3,1,2020-09-13,3,14.2857142857143,4,0.571428571428571
"C1",5,0,2020-09-13,3,0,2,0.285714285714286
"C1",7,3,2020-09-13,3,42.8571428571429,0,0
"C1",7,0,2020-09-13,3,0,0,0
"C1",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"C1",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"C1",7,4,2020-09-13,3,57.1428571428571,0,0
"C1",7,2,2020-09-13,3,28.5714285714286,0,0
"C1",7,2,2020-09-13,3,28.5714285714286,0,0
"C1",5,0,2020-09-13,3,0,2,0.285714285714286
"C1",7,1,2020-09-13,3,14.2857142857143,0,0
"C1",7,0,2020-09-13,3,0,0,0
"C1",7,1,2020-09-13,3,14.2857142857143,0,0
"C1",7,3,2020-09-13,3,42.8571428571429,0,0
"C1",7,1,2020-09-13,3,14.2857142857143,0,0
"C2",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"C2",7,2,2020-09-13,3,28.5714285714286,0,0
"C2",7,4,2020-09-13,3,57.1428571428571,0,0
"C2",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"C2",5,0,2020-09-13,3,0,2,0.285714285714286
"C2",7,2,2020-09-13,3,28.5714285714286,0,0
"C2",7,4,2020-09-13,3,57.1428571428571,0,0
"C2",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"C2",7,2,2020-09-13,3,28.5714285714286,0,0
"C2",7,1,2020-09-13,3,14.2857142857143,0,0
"C2",7,3,2020-09-13,3,42.8571428571429,0,0
"C2",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"C2",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"C2",7,4,2020-09-13,3,57.1428571428571,0,0
"C2",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"C3",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"C3",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"C3",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"C3",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"C3",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"C3",7,1,2020-09-13,3,14.2857142857143,0,0
"C3",5,2,2020-09-13,3,28.5714285714286,2,0.285714285714286
"C3",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"C3",7,3,2020-09-13,3,42.8571428571429,0,0
"C3",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"C3",7,1,2020-09-13,3,14.2857142857143,0,0
"C3",7,4,2020-09-13,3,57.1428571428571,0,0
"C3",7,2,2020-09-13,3,28.5714285714286,0,0
"C3",7,4,2020-09-13,3,57.1428571428571,0,0
"C3",4,0,2020-09-13,3,0,3,0.428571428571429
"MycoMillet15",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"MycoMillet15",7,1,2020-09-13,3,14.2857142857143,0,0
"MycoMillet15",7,2,2020-09-13,3,28.5714285714286,0,0
"MycoMillet15",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"MycoMillet15",7,2,2020-09-13,3,28.5714285714286,0,0
"MycoMillet15",6,4,2020-09-13,3,57.1428571428571,1,0.142857142857143
"MycoMillet15",3,0,2020-09-13,3,0,4,0.571428571428571
"MycoMillet15",5,0,2020-09-13,3,0,2,0.285714285714286
"MycoMillet15",5,2,2020-09-13,3,28.5714285714286,2,0.285714285714286
"MycoMillet15",7,3,2020-09-13,3,42.8571428571429,0,0
"MycoMillet15",7,0,2020-09-13,3,0,0,0
"MycoMillet15",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"MycoMillet15",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"MycoMillet15",5,0,2020-09-13,3,0,2,0.285714285714286
"MycoMillet15",5,0,2020-09-13,3,0,2,0.285714285714286
"MycoMillet25",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"MycoMillet25",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"MycoMillet25",1,0,2020-09-13,3,0,6,0.857142857142857
"MycoMillet25",3,0,2020-09-13,3,0,4,0.571428571428571
"MycoMillet25",3,0,2020-09-13,3,0,4,0.571428571428571
"MycoMillet25",2,0,2020-09-13,3,0,5,0.714285714285714
"MycoMillet25",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"MycoMillet25",5,2,2020-09-13,3,28.5714285714286,2,0.285714285714286
"MycoMillet25",6,4,2020-09-13,3,57.1428571428571,1,0.142857142857143
"MycoMillet25",2,0,2020-09-13,3,0,5,0.714285714285714
"MycoMillet25",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"MycoMillet25",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"MycoMillet25",2,0,2020-09-13,3,0,5,0.714285714285714
"MycoMillet25",6,0,2020-09-13,3,0,1,0.142857142857143
"MycoMillet25",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"B.bassiana",1,0,2020-09-17,4,0,6,0.857142857142857
"B.bassiana",5,1,2020-09-17,4,14.2857142857143,2,0.285714285714286
"B.bassiana",0,0,2020-09-17,4,0,7,1
"B.bassiana",3,1,2020-09-17,4,14.2857142857143,4,0.571428571428571
"B.bassiana",4,0,2020-09-17,4,0,3,0.428571428571429
"B.bassiana",4,0,2020-09-17,4,0,3,0.428571428571429
"B.bassiana",5,1,2020-09-17,4,14.2857142857143,2,0.285714285714286
"B.bassiana",5,1,2020-09-17,4,14.2857142857143,2,0.285714285714286
"B.bassiana",3,0,2020-09-17,4,0,4,0.571428571428571
"B.bassiana",5,0,2020-09-17,4,0,2,0.285714285714286
